title,company,location,posted,summary,job_salary,job_link
Momentum Worldwide 2022 Internship Experience,Worldgroup Careers MWT,"Atlanta, GA 30318",Posted30+ days ago,"ANALYTICS: The Analytics department tell data-informed stories about how our activation impacted our client’s customers through the use of predictive analytics,…",Full-time +1,https://www.indeed.com/rc/clk?jk=11a2b91b4cac6235&fccid=e6a47b3c32c4e717&vjs=3
Finance Intern - Summer 2022,WestRock,"Atlanta, GA 30328",Posted30+ days ago,"Upon successful completion of the program, interns may be eligible for our full-time, two-year rotational Finance Leadership Program.",Internship,https://www.indeed.com/rc/clk?jk=ea4d9f4591be5262&fccid=1f4fef55263d4309&vjs=3
Intern - Cyber Security Operations - Summer 2022,Xylem,"Atlanta, GA 30308 (Old Fourth Ward area)",Posted19 days ago,Strong sense of ownership and drive. Excellent written and verbal communication skills. Attending an accredited University studying toward a Bachelors of…,Full-time +1,https://www.indeed.com/rc/clk?jk=de7ba3eec4062515&fccid=68ec8a8ee6cf5ac6&vjs=3
Business Intern - Southeast District (Summer 2022),Kiewit Corporation,"Atlanta, GA 30337 (Hartsfield-Jackson Atlanta International Airport area)",Posted9 days ago,"0 - 2 years of financial/data analysis experience. The Business intern will be an integral part of the month end close out process, and assist with preparing a…",Temporary +2,https://www.indeed.com/rc/clk?jk=5f1d823803727ca0&fccid=fd3e5b9fc7b91d7c&vjs=3
Commercial Operations Analyst Intern,Artera,"Atlanta, GA",EmployerActive 5 days ago,"Participate in data governance initiatives, communicating with contacts at each operating company to drive data completeness. You are logical and analytical.",Internship,https://www.indeed.com/rc/clk?jk=ec644ee1433b42b7&fccid=549e8ec12e61cc81&vjs=3
"Intern, Project Management Analyst, Summer FIS University Pr...",FIS Global,"Atlanta, GA 30363 (Buckhead area)",Posted30+ days ago,"Gathers data and conducts analysis as needed for a successful outcome. Work closely with sales, client services, finance, professional services, development,…",Full-time +1,https://www.indeed.com/rc/clk?jk=910f3ff9899c148b&fccid=74e36d81c894b4b7&vjs=3
Momentum Worldwide 2022 Internship Experience,Momentum,"Atlanta, GA 30318",Posted30+ days ago,"ANALYTICS: The Analytics department tell data-informed stories about how our activation impacted our client’s customers through the use of predictive analytics,…",Full-time +1,https://www.indeed.com/rc/clk?jk=069285917d6cd81d&fccid=53b217ceadb8368f&vjs=3
"Packaging System Analytics, Seasonal Intern/Co-Op (Fall 2022...",The Haskell Company,"Atlanta, GA 30345",Posted9 days ago,"Possess strong data visualization skills. Possess strong skills with Microsoft Excel and data manipulation. A ""Co-Op"" at Haskell, (or reoccurring internship),…",Part-time +2,https://www.indeed.com/rc/clk?jk=3b342a43eedbd155&fccid=5561a1cc80992525&vjs=3
IT Operations Intern,LeasePlan,"Atlanta, GA",Posted9 days ago,"The role will identify relevant data sources, analyze data, clearly report, and communicate the results within IT and to a variety of business teams including…",Part-time +1,https://www.indeed.com/rc/clk?jk=d174436b11b18baf&fccid=3dc6137bb6f4119b&vjs=3
Capability Development Summer Intern,UNITED PARCEL SERVICE,"Atlanta, GA 30328",Posted16 days ago,Performs moderate/advanced data analysis. The Center of Excellence (CoE) Intern is responsible for delivering on variety of projects that would include data…,Internship,https://www.indeed.com/rc/clk?jk=7b2d9a9b01afbb85&fccid=fcf465e707df52fb&vjs=3
UPS Capital BIA Data Science Intern,UNITED PARCEL SERVICE,"Atlanta, GA 30328",Posted30 days ago,Preforms data analytics to support business. Manipulates large data sets and possesses analysis skills. Explores machine learning techniques for its application…,Internship,https://www.indeed.com/rc/clk?jk=e68fe08b5aaee42a&fccid=fcf465e707df52fb&vjs=3
2022 Summer Intern - Software Engineering,Cox Automotive,"Atlanta, GA 30328",Posted30+ days ago,"Perform data analysis, coding, testing, integration and maintenance of applications. Job Level: Intern/Co-op. Other: Git, Ansible, Ansible Tower, Jenkins.",Full-time +1,https://www.indeed.com/rc/clk?jk=820cbe0517ec56cf&fccid=7e465a3d521b3ac3&vjs=3
Intern - IT,Arconic,"Norcross, GA 30092",Posted30+ days ago,Good understanding of SQL and extracting & analyzing data. Currently studying IT and focusing on data analytics/reporting.,Internship,https://www.indeed.com/rc/clk?jk=a10692566431fd4c&fccid=d6da256b9372422a&vjs=3
Atlanta Technology Consulting Intern - 2022,Protiviti,"Atlanta, GA",Posted30+ days ago,"There are various disciplines involved in Enterprise Data & Analytics, including: data source identification and analysis, data engineering, data visualization …",Full-time +1,https://www.indeed.com/rc/clk?jk=7cb921d147732875&fccid=d14e08fd6f4e5ebf&vjs=3
2023 - Summer - Consulting Intern - Data and Digital Service...,RSM US LLP,"Atlanta, GA 30309 (Midtown area)",Posted23 days ago,"Strong data assimilation and organization skills. As a Finance Automation intern, you will be able to work side-by-side RSM Consultants, using your experience…",Full-time +1,https://www.indeed.com/rc/clk?jk=8dea8840a085e2a5&fccid=198b7374e1f8a26f&vjs=3
Momentum Worldwide 2022 Internship Experience,Momentum,"Atlanta, GA 30318",Posted30+ days ago,"ANALYTICS: The Analytics department tell data-informed stories about how our activation impacted our client’s customers through the use of predictive analytics,…",Full-time +1,https://www.indeed.com/rc/clk?jk=069285917d6cd81d&fccid=53b217ceadb8368f&vjs=3
Customer Success Intern,Florence Healthcare,"Temporarily Remote in Atlanta, GA",Posted10 days ago,"Additionally, we would like this role to help support data mining efforts within several CRM platforms. Florence (florencehc.com) helps advance cures by making…",Internship,https://www.indeed.com/rc/clk?jk=0cd47e368f2e9f11&fccid=e0a809169b38c57b&vjs=3
Technology Intern Job,Acuity Brands,"Remote in Conyers, GA",Posted11 days ago,Help drive business decisions through data analysis and data visualization. Help the team in creating a data catalog / wiki and in streamlining our…,Full-time +1,https://www.indeed.com/rc/clk?jk=a13c6ea3d4768484&fccid=7fafd2106b16b1de&vjs=3
Product Design Intern - Summer 2022,Splunk,"Atlanta, GA 30301 (Buckhead area)",Posted30+ days ago,The Core Products group at Splunk is looking for a product management intern to work closely with our PM and engineering teams to help define and implement best…,Internship,https://www.indeed.com/rc/clk?jk=a234040169ce45da&fccid=aef928e89977f7f0&vjs=3
Business Analyst Intern,Alexander Group,"Atlanta, GA",Posted30+ days ago,"Conduct data analysis including basic statistical analysis. Work with client leaders in sales, marketing, finance and human resources to solve revenue growth…",Full-time +1,https://www.indeed.com/rc/clk?jk=a64ee47f703f6733&fccid=fa5cb63a42d6c6ed&vjs=3
"Student Trainee (Economist), CG-0199-04 (FDIC Pathways Inter...",US Federal Deposit Insurance Corporation,"Atlanta, GA 30309 (Midtown area)",Posted1 day ago,This work involves using software to analyze data. Applicants must have one (1) year of general experience performing economic research or related work that…,"$35,761 - $57,478 a year",https://www.indeed.com/rc/clk?jk=f42a25088a92154b&fccid=dd616958bd9ddc12&vjs=3
